name,developer,percent_positive,num_reviews,multiplayer,mature
Dawn of Man,Madruga Works,79.0,3526.0,False,False
Baba Is You,Hempuli Oy,97.0,1521.0,False,False
House & Garden Flipper Bundle,Empyrean,77.0,8624.0,False,False
Microsoft Flight Simulator X: Steam Edition,Microsoft Game Studios,78.0,9782.0,True,False
ASTRONEER,System Era Softworks,84.0,30161.0,False,False
Hollow Knight,Team Cherry,95.0,37382.0,False,False
Kingdoms and Castles,"Lion Shield, LLC",85.0,7419.0,False,False
Tyranny,Obsidian Entertainment,85.0,5361.0,False,False
House Cooking Bundle!,Empyrean,78.0,8805.0,False,False
XCOM® 2,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",80.0,23516.0,True,False
Elite Dangerous,Frontier Developments,68.0,28383.0,True,False
Realm of the Mad God,"Wild Shadow Studios,Deca Games",83.0,28359.0,True,False
Pillars of Eternity II: Deadfire,Obsidian Entertainment,81.0,3494.0,False,True
Portal 2,Valve,98.0,104354.0,False,False
Oxygen Not Included,Klei Entertainment,93.0,17415.0,False,False
Jurassic World Evolution,Frontier Developments,70.0,13041.0,False,False
BeamNG.drive,BeamNG,89.0,13523.0,False,False
MORDHAU Supporter Bundle,Triternion,78.0,3186.0,True,False
DCS World Steam Edition,Eagle Dynamics SA,76.0,6779.0,True,False
Blaster Master Zero,"INTI CREATES CO., LTD.",100.0,28.0,True,False
Forager,HopFrog,87.0,3375.0,False,False
The Jackbox Party Pack 3,"Jackbox Games, Inc.",94.0,710.0,True,False
Wolfenstein: The Two Pack,Machine Games,78.0,13248.0,False,False
Albion Online,Sandbox Interactive GmbH,54.0,4745.0,True,False
DARK SOULS™ II,"FromSoftware, Inc",87.0,21539.0,True,False
Total War™: ROME II - Emperor Edition,CREATIVE ASSEMBLY,76.0,22009.0,True,False
Car Mechanic Simulator 2018,Red Dot Games,76.0,11388.0,False,False
NieR:Automata™,"Square Enix,PlatinumGames Inc.",82.0,32562.0,False,False
Pavlov VR,davevillz,89.0,3435.0,True,True
Left 4 Dead 2,Valve,96.0,156890.0,True,True
Yu-Gi-Oh! Duel Links,Konami Digital Entertainment,75.0,10993.0,True,False
Katana ZERO,Askiisoft,97.0,4028.0,False,True
Darkest Dungeon®,Red Hook Studios,85.0,42821.0,False,False
Vampire: The Masquerade - Bloodlines,Troika Games,93.0,5844.0,False,False
Wreckfest,Bugbear,77.0,9124.0,True,False
SUPERHOT VR,SUPERHOT Team,88.0,2100.0,False,False
Conqueror's Blade,Booming Games,46.0,2029.0,True,False
Kenshi,Lo-Fi Games,88.0,10227.0,False,True
RESIDENT EVIL 2 / BIOHAZARD RE:2,"CAPCOM Co., Ltd.",95.0,14492.0,False,True
HITMAN™ 2,IO Interactive A/S,86.0,4357.0,True,True
Minion Masters,BetaDwarf,90.0,20699.0,True,False
Crossout,Targem Games,66.0,19157.0,True,False
Kingdom Come: Deliverance Royal Edition,Warhorse Studios,90.0,116.0,False,False
The Sims™ 3,The Sims Studio,81.0,12778.0,False,False
Subnautica,Unknown Worlds Entertainment,94.0,87871.0,False,False
Wallpaper Engine,Kristjan Skutta,96.0,63223.0,False,False
Grim Dawn,Crate Entertainment,90.0,24456.0,True,True
Subnautica: Below Zero,Unknown Worlds Entertainment,89.0,4663.0,False,False
7 Days to Die,The Fun Pimps,77.0,55096.0,True,False
X-Plane 11,Laminar Research,81.0,2475.0,True,False
Fallout: New Vegas,Obsidian Entertainment,95.0,52056.0,False,False
Surviving Mars,Haemimont Games,71.0,4344.0,False,False
Wolfenstein: The New Order,Machine Games,88.0,20858.0,False,False
RAGE 2,"id Software,Avalanche Studios",54.0,4490.0,False,True
A Plague Tale: Innocence,Asobo Studio,94.0,2526.0,False,True
FOR HONOR™,"Ubisoft Montreal,Ubisoft Quebec,Ubisoft Toronto,Blue Byte",54.0,36134.0,True,False
Cuphead,Studio MDHR Entertainment Inc.,95.0,35536.0,False,False
Europa Universalis IV,Paradox Development Studio,82.0,35444.0,True,False
DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,Square Enix,91.0,2704.0,False,True
Deathgarden™: BLOODHARVEST,Behaviour Digital Inc.,79.0,2617.0,True,True
Supraland,Supra Games,96.0,1274.0,False,False
Starbound,Chucklefish,90.0,57157.0,True,False
NBA 2K19,Visual Concepts,27.0,7877.0,True,False
KurtzPel,KOG,56.0,5388.0,True,False
A Hat in Time,Gears for Breakfast,97.0,11925.0,False,False
Slay the Spire,Mega Crit Games,96.0,25172.0,False,False
PAYDAY 2,OVERKILL - a Starbreeze Studio.,84.0,215078.0,True,False
"Papers, Please",Lucas Pope,95.0,23376.0,False,False
Insurgency: Sandstorm,New World Interactive,75.0,15963.0,True,True
Deep Rock Galactic,Ghost Ship Games,93.0,9320.0,True,False
No Man's Sky,Hello Games,51.0,102974.0,True,False
Tropico 6,Limbic Entertainment,84.0,3385.0,True,False
theHunter: Call of the Wild™,Expansive Worlds,78.0,17470.0,True,False
Prey,Arkane Studios,88.0,11786.0,False,False
Tabletop Simulator,Berserk Games,93.0,8785.0,True,False
Outward,Nine Dots Studio,70.0,3399.0,False,True
Thronebreaker: The Witcher Tales,CD PROJEKT RED,87.0,2922.0,False,False
Beat Saber - Imagine Dragons Music Pack,Beat Games,69.0,1098.0,False,False
Paladins®,Evil Mojo Games,83.0,204137.0,True,False
FIVE NIGHTS AT FREDDY'S VR: HELP WANTED,Steel Wool Studios,97.0,441.0,False,False
Screencheat,Samurai Punk,92.0,474.0,True,False
Space Engineers,Keen Software House,87.0,51814.0,True,False
Ideology in Friction,ONEONE1,90.0,155.0,False,True
Sid Meier's Civilization® V,"Firaxis Games,Aspyr (Mac),Aspyr (Linux)",95.0,83973.0,True,False
Pathfinder: Kingmaker,Owlcat Games,70.0,6709.0,False,True
Age of Empires II HD,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios,Forgotten Empires",94.0,46206.0,True,False
Blade and Sorcery,WarpFrog,87.0,1746.0,False,True
Borderlands Game of the Year,Gearbox Software,93.0,15083.0,True,False
Destiny 2,Bungie,91.0,2272.0,True,False
Raft,Redbeet Interactive,78.0,13413.0,True,False
Factorio,Wube Software LTD.,98.0,38652.0,True,False
Total War: WARHAMMER,"CREATIVE ASSEMBLY,Feral Interactive (Linux),Feral Interactive (Mac)",75.0,23366.0,True,False
Crypt of the NecroDancer,Brace Yourself Games,96.0,13069.0,False,False
Garry's Mod,Facepunch Studios,95.0,310394.0,True,False
Brawlhalla,Blue Mammoth Games,83.0,90153.0,True,False
The Elder Scrolls V: Skyrim VR,Bethesda Game Studios,80.0,2137.0,False,False
Void Bastards,Blue Manchu,82.0,728.0,False,True
World of Warships,Wargaming Group Limited,71.0,14265.0,True,False
Coming Out on Top,Obscurasoft,94.0,358.0,False,True
Tom Clancy's Ghost Recon® Wildlands,"Ubisoft Paris,Ubisoft Annecy,Ubisoft Bucharest,Ubisoft Montpellier,Ubisoft Milan,Reflections,Ubisoft Belgrade",74.0,28513.0,True,False
Farming Simulator 19,Giants Software,76.0,6474.0,True,False
Don't Starve Together,Klei Entertainment,96.0,70020.0,True,False
Crusader Kings II,Paradox Development Studio,90.0,21046.0,True,False
Conan Exiles,Funcom,69.0,24605.0,True,True
Barotrauma,"FakeFish,Undertow Games",76.0,571.0,True,True
Totally Accurate Battle Simulator,Landfall,92.0,4787.0,False,False
Borderlands 2 Game of the Year,Gearbox Software,78.0,12262.0,False,False
Call of Duty®: Black Ops III,"Treyarch,Aspyr (Mac)",64.0,23982.0,True,False
Planet Zoo,Frontier Developments,81.0,59.0,False,False
Wolfenstein II: The New Colossus,Machine Games,69.0,9311.0,False,True
Kingdom Come: Deliverance,Warhorse Studios,74.0,27512.0,False,True
Star Trek Online,Cryptic Studios,75.0,10144.0,True,False
Bloodstained: Ritual of the Night,ArtPlay,69.0,351.0,True,False
The Forest,Endnight Games Ltd,92.0,101595.0,True,False
Planet Coaster,Frontier Developments,87.0,20758.0,False,False
